"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"Deep In The Hole","AC/DC","Flick of the Switch","1983","No","Brian Johnson, Angus Young, Malcolm Young","7","03:19","Legacy / Epic",9,1,-4.559,175.253,0.00104,0.297,0.784,0.0947,0.457,0.038,0.767,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Demon Fire","AC/DC","Power Up","2020","No","Angus Young, Malcolm Young","7","03:30","Columbia",9,1,-5.309,160.026,4.93e-06,0.521,0.881,0.0114,0.141,0.0387,0.564,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Dirty Deeds Done Dirt Cheap","AC/DC","Dirty Deeds Done Dirt Cheap","1976","Yes","Bon Scott, Angus Young, Malcolm Young","1","04:11","Legacy / Epic / Sony Music",11,0,-4.881,135.653,0.214,0.668,0.906,0.00245,0.135,0.17,0.507,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Boisterous, Confident, Confrontational, Earthy, Energetic, Outrageous, Rambunctious, Brash, Greasy, Gritty, Aggressive, Angry, Fiery, Rebellious, Intense, Raucous, Reckless, Sleazy, Swaggering, Urgent, Visceral, Volatile","Mischief, Cool & Cocky, Pool Party, Partying, TGIF, Victory","Yes","28 Jun 1980","47","3","No","-","-","-","1976","29","-","-","-","34","-","-","-"
"Dirty Eyes","AC/DC","Volts","1997","No","Bon Scott, Angus Young, Malcolm Young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop/Rock","Hard Rock","Aggressive, Energetic, Rebellious, Rousing",NA,"No","-","-","-","No","-","-","-","1997","-","-","71","-","-","-","-","-"
"Dog Eat Dog","AC/DC","Let There Be Rock","1977","Yes","Bon Scott, Angus Young, Malcolm Young","2","03:34","Epic / Sony Music",10,1,-5.556,137.391,0.0289,0.596,0.792,0.252,0.458,0.0768,0.394,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","1977","60","-","-","-","-","-","-","-"
"Dogs Of War","AC/DC","Rock or Bust","2014","No","Angus Young, Malcolm Young","5","03:35","Columbia",9,1,-4.562,99.372,4.71e-05,0.502,0.816,0.0217,0.302,0.0329,0.475,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Down On The Borderline","AC/DC","Backtracks","1990","No","Angus Young, Malcolm Young","10","04:14",NA,5,0,-4.278,122.031,0.067,0.498,0.932,0.000713,0.095,0.0697,0.499,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Down Payment Blues","AC/DC","Powerage","1978","No","Bon Scott, Angus Young, Malcolm Young","2","06:03","Epic",4,1,-5.07,129.271,0.0209,0.491,0.685,0.0958,0.312,0.0369,0.193,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Feeling Blue, Guys Night Out, Motivation, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"D.t.","AC/DC","Who Made Who","1986","No","Angus Young, Malcolm Young","3","02:53",NA,5,1,-8.259,99.187,0.0016,0.43,0.6,0.925,0.128,0.067,0.437,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Emission Control","AC/DC","Rock or Bust","2014","No","Angus Young, Malcolm Young","11","03:41","Columbia",5,1,-4.644,168.955,0.000104,0.409,0.858,0.135,0.212,0.0393,0.628,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
